e_form,s_modulus,b_modulus,gap opt,nsites,volume,density,uepa,epa,fepa,efermi,band_gap
-0.299,20.46,51.867,0.0044,2,40.88504724,5.438245756,-6.669958335,-6.905958335,-0.57699495,4.96179142,0
-2.43,73.973,110.656,5.1686,8,72.70467185,2.740205756,-6.393527018,-6.737027018,-2.479107193,2.64181688,4.4054
-0.991,70.727,116.244,0.0107,12,124.1982623,4.8630674,-5.580890477,-6.584890477,-0.917658738,-0.70263144,0
-0.748,6.027,12.278,2.6897,16,605.6024669,4.921190383,-2.97189129,-3.37239129,-1.24749776,-1.11987361,2.8714
-3.128,25.46,47.467,3.6469,6,127.5064962,4.813605402,-7.258112838,-7.665112838,-3.34305012,0.99738086,4.4849
-1.969,38.96,96.3,2.9829,6,108.5875712,7.461909928,-5.381808635,-5.764808635,-2.198589699,2.2430828,3.3088
-0.821,13.387,90.944,0.0046,12,162.7406477,5.107734169,-5.194405306,-6.075905306,-1.290872403,3.61337659,0.3152
-0.805,21.02,31.467,0.0019,6,183.1164929,5.889721682,-5.613159023,-5.894492357,-1.058422987,5.07857507,0
0.037,36.273,49.356,0.9591,8,149.6591765,1.892098258,-4.869105323,-4.913855323,0.003314711,4.27304904,0.9014
-0.716,43.8,80.133,0.0087,8,71.38433863,4.492010428,-4.961446301,-5.304946301,-0.958618767,2.59832873,0
-0.208,15.54,30.167,0.0583,4,52.62862259,5.535763094,-4.08585427,-4.42935427,-0.542951164,3.94532551,0
-0.308,17.28,32.567,0.1303,8,140.6566332,3.093021062,-4.237944361,-4.471944361,-0.511664173,0.3523507,0.6614
0.164,11.153,25.122,0.0055,12,124.1982623,4.8630674,-5.580890477,-6.584890477,-0.917658738,-0.70263144,0
-2.347,54.113,58.922,0.077,48,574.5612148,3.835291483,-7.724529806,-8.749196473,-2.423435309,2.45847586,0.7988
-0.142,1.88,51.6,0.3612,16,187.5467073,6.2189878,-5.289813366,-5.805063366,-1.309220359,3.94631866,1.1349
-0.646,11.6,82.4,2.4493,6,95.16902554,8.40936163,-5.113468943,-5.571468943,-0.993513426,4.28561746,0
-1.159,31.753,47.856,0.0273,5,130.2626257,5.973814355,-6.874707716,-7.043507716,-1.284444605,5.46595317,0
-2.462,39.967,52.911,0.0183,6,106.6613332,3.092474823,-7.193785742,-7.627452408,-2.730546612,3.76229784,0
-1.351,8.927,18.344,0.0035,10,363.2801919,5.097944666,-4.90363194,-5.33083194,-1.830127274,1.67826143,0
-0.1,9.8,24.5,0.0008,3,94.93352711,5.466165219,-3.0703291,-3.322995767,-0.414039307,4.42185907,0
-0.595,25.8,39,0.0015,14,313.9405313,5.709342776,-5.902991518,-6.240134375,-0.92100439,3.94747665,0
-1.013,18.033,35.489,0.0402,6,185.6867373,5.278082853,-5.337991228,-5.440657895,-1.16340005,6.13639059,0
-0.801,50.42,68.4,0.0149,6,143.2661327,6.756479699,-6.22085743,-6.361524097,-0.923512637,6.86542356,0
-0.088,7.62,19.167,1.5044,8,235.6100244,7.80534525,-2.580397243,-2.847397243,-0.433942077,0.14972865,1.9716
-0.586,39.407,65.811,0.0066,24,292.3254387,5.992416808,-6.643745617,-6.895245617,-0.592010078,8.33493297,0
-1.598,61.987,118.778,0.0076,48,637.0399319,3.721983085,-6.313774991,-7.055108324,-1.560130393,0.19946474,0.0987
-2.019,33.28,74.367,2.2124,6,104.7924599,7.224172088,-8.582878555,-8.907878555,-2.193805017,2.84487805,2.2055
-0.475,20.313,34.622,0.8552,12,266.183959,2.635436329,-5.522686028,-5.858019361,-0.589327787,3.59819356,0
-2.95,30.487,47.711,3.2224,6,126.1074139,3.709573978,-7.094078458,-7.501078458,-3.223683076,0.72578235,3.236
-1.017,22.047,46.311,0.027,6,103.1238403,3.455486605,-5.396129027,-6.581795693,-1.493380166,0.82134767,1.9133
-0.452,18.447,35.811,0.0337,10,201.4135744,2.637984463,-4.721447098,-5.023247098,-0.689810722,3.61932685,0
-0.382,10.627,32.178,0.0176,20,454.615746,3.025844645,-5.159768456,-5.461568456,-0.648477687,3.13898554,0
-2.713,27.653,43.256,1.9459,12,279.252151,4.468341689,-6.804573088,-7.159906422,-2.909065033,3.2977294,1.9603
-0.911,24.147,51.611,0.0089,18,200.980652,3.544452351,-4.614046435,-4.911268657,-1.172883908,1.76546539,0.0656
-0.867,31.893,50.456,0.0776,24,473.5654842,3.97846008,-6.400582691,-6.777832691,-1.150169031,4.781879,0
-2.73,13.5,19.767,3.1375,10,137.966437,2.983345171,-5.859091194,-6.613691194,-2.660684857,-2.62915008,2.6463
-2.389,36.427,57.678,0.0456,28,492.9324665,4.837273343,-5.92042466,-6.61342466,-2.578838577,3.04516351,1.1631
-1.164,12.42,22.6,3.7581,36,916.7511936,2.962937614,-2.797080228,-3.206413561,-1.554141251,-1.70154508,3.9778
-1.662,15.46,22.6,0.025,16,390.7881993,2.621351397,-4.945243805,-5.405743805,-2.045468306,2.31913741,0
-1.539,33.92,64,0.9903,6,127.2909184,8.333322244,-8.019335835,-8.266002502,-1.676985733,3.96439896,0.9778
-0.064,31.76,61.1,0.001,12,301.6493279,9.956465115,-3.258539647,-3.53987298,-0.353041718,6.467296,0
-1.512,15.26,28.467,0.0851,4,117.247568,5.505834354,-4.699094558,-5.006094558,-1.764643178,2.92912492,0
-1.984,31.767,67.244,1.7698,6,120.3066104,3.883590089,-7.528349052,-7.853349052,-1.60910498,1.77894374,1.3411
-0.145,15.473,32.356,0.1617,20,558.0473308,4.810000628,-4.135888273,-4.419088273,-0.444911305,2.95306292,0.4199
-1.263,26.84,39,0.0006,6,156.7961896,4.817914898,-6.269816778,-6.584483445,-1.513343685,2.72763325,0
-0.08,12.88,21.767,0.0072,3,99.39843298,5.173043972,-3.939882207,-4.192548873,-0.386964237,3.52025769,0
-0.927,19.54,29.367,0.0219,12,407.6293551,5.622172878,-4.75792829,-5.010594957,-1.17911718,4.56411636,0.2846
-0.198,23.54,36.767,0.0429,5,153.3547035,5.728494579,-3.866972254,-4.140172254,-0.461545988,4.7014229,0.5453
-0.257,26.4,45.133,0.0007,4,58.68779231,7.803225451,-5.446029513,-5.682029513,-0.379914876,6.63525012,0
-2.657,61.367,124.344,4.2842,8,82.0568945,3.155372383,-7.469031001,-7.812531001,-2.907887858,1.45516672,3.6596
-0.813,-3.613,37.278,0.0009,5,42.50406136,3.621898325,-4.717693666,-5.500693666,-1.008900428,2.70722937,0
-2.465,40.733,84.656,2.8374,22,396.6831123,3.441771332,-7.73124579,-8.813063971,-2.466472104,-1.71997341,3.1318
-1.32,18.047,26.078,0.1367,5,167.6480232,4.994657714,-5.357191602,-5.508791602,-1.408251046,3.72909677,0.1671
-0.084,13.5,26.4,1.004,20,536.7001893,5.79742048,-3.361701631,-3.644901631,-0.40395817,1.30768617,1.2066
-1.743,7.013,13.122,3.1541,24,1370.635498,3.319649187,-3.292886668,-3.545553335,-1.909213298,-0.19084901,3.0008
-1.188,8.16,14.933,2.8989,6,266.0438835,4.711756885,-3.123811653,-3.37647832,-1.441192928,1.08686994,2.8233
-1.964,6.793,13.422,3.5904,8,292.4847002,3.731359469,-4.759855588,-5.160355588,-2.378966562,-1.50805539,3.9765
-2.844,27.027,41.511,3.6792,6,160.847411,5.928810815,-6.345311332,-6.700644665,-2.971243834,2.77132649,2.3385
-3.123,26.353,50.056,3.7703,6,146.5633103,5.910409381,-6.64035601,-7.04735601,-3.35331404,-0.06861809,4.3862
-3.249,28.133,45.922,5.0886,6,100.5968529,7.220480827,-6.864314628,-7.297981295,-3.510333235,2.43426836,5.1904
-0.294,14.227,25.311,0.0226,10,263.6331568,2.131462302,-5.222756272,-5.574856272,-0.631376117,1.5539816,0
0.304,4.92,57.533,0.0044,1,26.96186353,7.49900824,-3.8270613,-3.8270613,0.30193994,7.78293214,0
-0.925,7.693,12.122,1.3183,7,200.7956485,2.695804665,-5.608527776,-5.895956347,-1.135702714,-0.64511253,1.9131
-0.445,50.907,94.444,0.0025,6,117.1346911,12.49942618,-9.516310455,-9.673643788,-0.603154876,5.92907964,0
-0.106,15.333,24.022,1.1358,10,254.8789641,5.039011233,-4.079416479,-4.362616479,-0.40142223,3.18358596,0.6003
-0.865,11.753,19.922,0.5195,3,81.19421375,4.310131989,-4.972173077,-5.328173077,-1.264852167,2.46396163,1.1332
-0.056,15.193,30.156,0.8438,8,181.788928,4.830624575,-3.835682793,-4.069682793,-0.315733772,-0.17704132,0.2618
-1.395,24.533,42.856,0.0061,3,47.231478,3.937530683,-5.37870821,-5.714041543,-0.324577627,8.07721464,0
-1.098,50.687,105.844,0.2346,90,1268.306995,5.919493885,-5.97008138,-6.077414713,-1.443098287,5.34718356,0.6303
-2.392,13.707,19.578,3.3678,5,64.61203996,5.003911897,-4.67101209,-5.04061209,-2.709514545,-0.76186808,3.115
-0.818,49.073,104.322,0.8082,48,528.8629563,4.556127498,-4.247864635,-5.552864635,-0.328359934,1.92853453,0
-1.891,27.953,43.256,0.0043,12,140.8484186,3.961047323,-7.249035365,-8.373368698,-1.857893734,1.81180343,0.5338
-1.591,61.047,102.878,1.6183,90,1268.306995,5.919493885,-5.97008138,-6.077414713,-1.443098287,5.34718356,0.6303
-1.582,45.6,141.267,0.006,6,68.98126085,4.666660251,-5.14139223,-5.99539223,-2.351633653,0.52860275,2.2721
-1.687,37.553,118.989,0.179,6,78.61169617,3.92618297,-6.43265524,-7.29665524,-2.968330831,0.6044362,2.5363
-1.621,59.74,142.4,0.0306,6,72.16258852,4.318802549,-5.629816665,-6.689816665,-2.59215695,0.97110852,1.6921
-0.707,25.58,40.467,1.4183,8,179.06983,3.775576276,-4.234017296,-4.485517296,-0.903244352,1.57488932,2.0036
-0.752,8.887,15.344,1.7003,10,282.4684458,2.50004079,-4.439305192,-4.741105192,-0.980467956,0.97225391,1.8376
-2.296,39.247,33.778,0.0005,8,131.6416915,3.303962543,-5.792546598,-6.789171598,-2.793225174,0.19432414,0.7764
-3.444,25.847,25.411,8.7016,9,109.2999792,2.14255105,-5.764625006,-6.072625006,-3.551834739,-4.15878708,8.0867
-3.025,168.68,215.733,7.2929,2,13.69106765,3.033562473,-7.09646461,-7.43996461,-3.096913822,2.40466533,6.8477
-1.314,5.4,11.2,6.931,6,47.01384001,3.108850247,-7.236768392,-7.694768392,-1.320754087,2.39782815,7.6546
-2.526,15.907,36.511,5.2887,3,75.52598678,2.440130551,-4.240699797,-4.65003313,-2.749142063,0.98491182,4.8803
-3.465,28.553,55.622,5.9497,6,118.9778513,3.965698029,-5.050319475,-5.408986142,-3.592483115,0.40018649,5.9377
-3.275,26.34,48,5.2929,6,131.6993101,4.703558993,-4.808685528,-5.140685528,-3.422685278,0.58407912,5.0036
-2.627,16.46,38.533,5.4985,3,85.73142957,3.070503051,-4.280791047,-4.69012438,-2.894602122,0.07819131,5.2286
-2.53,15.28,27.967,5.4217,3,75.52598678,2.440130551,-4.240699797,-4.65003313,-2.749142063,0.98491182,4.8803
-3.392,32.22,60.867,5.6518,6,102.8240268,3.053172917,-5.068703077,-5.427369743,-3.505497908,1.11750618,5.6702
-2.326,12.127,41.244,7.136,4,39.91848798,2.578863089,-4.187525533,-4.418525533,-2.283973214,-2.11307467,6.6772
-1.11,24.253,62.789,0.9351,10,178.2459009,8.981083722,-5.325929385,-5.701329385,-1.359168275,5.5926041,0.8266
-0.96,7.353,14.256,3.1677,12,177.0242604,3.281151029,-2.809552248,-3.194552247,-1.342815053,-3.49906028,3.4507
-1.312,5.78,13.267,1.5121,32,446.7840058,3.863727972,-3.105825659,-3.510075659,-1.653360768,-1.67510936,1.6861
-2.2,9.493,15.189,5.1841,16,245.1105762,3.574762367,-4.728915196,-5.075415196,-2.477026369,-2.42735575,5.36
-2.02,11.553,22.056,5.355,8,213.5311208,2.540056967,-3.527745726,-3.834745726,-2.188113161,-1.4495017,5.1482
-3.947,43.673,82.089,5.7629,10,140.2749866,3.101475868,-6.452507469,-6.775907469,-4.060338476,-1.90671858,5.7069
-1.379,5.68,9.367,6.6884,10,160.2876894,2.164334653,-4.74822885,-5.14822885,-1.785901039,-2.98043722,6.616
-3.365,30.673,55.689,6.9563,7,102.5390373,2.890589593,-4.753607264,-5.017607264,-3.379465291,-2.12636366,6.4289
-0.877,43.4,54.633,1.7383,3,48.12695658,2.146787432,-3.385764143,-3.385764143,-0.411595669,3.97444592,0
-0.504,13.18,23.667,4.3683,6,64.00459659,2.541025017,-4.4600321,-4.609198767,-0.699127528,-0.52213697,4.0357
-0.76,11.373,23.422,3.386,6,101.4393015,1.835468453,-3.62628152,-3.793948187,-0.843381118,0.56208025,3.1577
-0.897,17.867,28.444,1.7816,7,237.389201,4.560626034,-3.94228927,-4.183432127,-1.0757366,3.56022874,1.4454
-1.86,10.36,31.667,1.4341,8,143.5472964,3.433120375,-4.229713838,-4.576213838,-2.206145311,-2.45040028,1.6806
-1.793,34.307,53.078,1.6253,4,92.09990727,4.575354968,-5.541777143,-5.777777143,-1.935972909,2.3846198,1.5239
-0.841,89.82,103.8,2.7861,12,123.5279759,2.433258562,-4.585813338,-4.706146671,-0.757580724,2.98337128,2.2065
-0.79,15.273,25.556,0.6876,7,252.6302597,5.17408928,-3.72017364,-3.961316497,-1.025832132,2.75982205,0.5291
-1.015,6.973,21.556,3.0425,45,870.4031761,2.532111184,-5.801986575,-6.214186575,-1.382767549,-1.22999478,3.0622
-3.176,21.42,21.067,5.4907,8,142.1718653,3.185997601,-5.240902119,-5.587402119,-3.401896426,-3.16465386,5.418
-0.1,9.793,26.356,0.9323,14,162.9004333,2.202025927,-6.034199144,-6.52491343,-0.609708658,0.24139374,0.6751
-0.37,63.48,169.3,0.4191,3,58.88361463,8.903879238,-8.252133363,-8.316133363,-0.481230423,7.15066285,0.3773
-1.393,86.74,199.767,0.0234,8,87.49337481,5.60036526,-6.853613688,-7.696863688,-1.785455797,4.12260606,1.5391
-3.556,34.947,68.578,7.2302,48,697.6011027,2.705483297,-5.422628378,-5.730628378,-3.646979937,4.3314737,6.9578
-2.68,35.52,117.367,0.3883,10,144.7230929,2.828196039,-6.86619454,-7.61839454,-2.513544089,1.90670307,0
-1.242,32.227,66.311,1.4642,5,80.73303569,4.455404545,-4.481791438,-4.756591438,-1.297780013,2.16042024,1.3697
-0.58,27.113,49.056,3.3747,5,63.7363336,2.240674881,-6.164682236,-6.309082236,-0.59974105,1.35050221,3.024
-1.429,32.253,47.822,0.376,4,71.07659252,6.294342861,-5.764968833,-6.108468833,-1.630338549,6.30205676,0.4096
-3.571,39.347,67.811,7.3635,6,83.42181736,3.751019727,-5.391841532,-5.699841532,-3.637837236,-1.44887028,6.8772
-1.786,99.26,186.2,0.8947,90,1268.306995,5.919493885,-5.97008138,-6.077414713,-1.443098287,5.34718356,0.6303
-2.617,19.6,41.367,0.7397,10,181.8224497,2.988467194,-4.902643958,-5.500043958,-2.935471882,-0.46323876,3.353
-2.883,34.88,20.167,5.8315,36,611.8792444,1.95670623,-7.908579324,-8.366579324,-3.260347506,-1.42411996,5.6779
-2.869,30.84,25.533,5.7402,36,611.8792444,1.95670623,-7.908579324,-8.366579324,-3.260347506,-1.42411996,5.6779
-3.243,65.107,189.078,2.6815,36,459.9689447,3.459893087,-8.802742109,-9.260742109,-3.331118963,1.31358721,1.7255
-2.914,42.373,34.689,2.0082,8,94.76075401,3.334571416,-5.363977136,-5.960352136,-3.120076971,-2.39923963,1.6141
-2.878,26.987,25.578,5.7034,36,611.8792444,1.95670623,-7.908579324,-8.366579324,-3.260347506,-1.42411996,5.6779
-2.249,44.82,91.367,0.0247,20,307.633939,3.260937951,-5.611087712,-6.221887712,-3.020517484,0.173251,3.4193
-2.484,8.96,40.533,0.0609,10,184.0723865,3.744895272,-4.907710442,-5.628710442,-2.852890354,-0.21383477,2.8446
-0.884,33.053,72.156,2.1197,100,2478.010635,3.265913848,-3.086844423,-3.338344423,-0.640247684,1.29039525,1.2531
-2.187,10.993,22.556,4.3126,8,119.0621753,5.485220145,-4.437548916,-4.784048916,-2.472719497,-1.7805052,4.606
-2.373,80.613,138.089,0.0688,6,74.39931701,3.970077636,-6.42757412,-7.302240787,-2.999952785,4.04948861,0
-2.003,69.96,80.4,0.626,8,109.1367383,3.433776365,-5.271324539,-6.181824539,-2.630710011,0.60409543,3.0028
-2.367,10.76,24.033,1.6054,9,146.0245093,3.907518488,-3.935496923,-4.525830257,-2.391377076,-3.17595707,2.4216
-2.557,36.04,82.767,0.1425,5,73.12138287,4.392090675,-5.57858712,-6.19578712,-3.036011711,2.18826147,2.4491
-0.636,4.58,16.8,2.6405,32,491.7430962,2.497464467,-2.510888335,-2.857388335,-0.961644945,-2.01036124,2.5175
-2.563,32.14,84.067,0.0985,5,70.41227003,3.46754021,-5.613237906,-6.230437906,-3.044689522,2.32983132,2.0759
-0.502,22.733,35.756,0.9011,7,154.6589972,4.715506289,-5.841511916,-6.128940487,-0.742891482,2.55708576,1.3591
-2.651,12.5,28.233,2.0418,9,131.3498864,3.12418103,-4.94075416,-5.434087493,-2.895011161,-3.1956878,3.3462
-3.065,24.107,21.444,2.1407,8,113.0219267,3.027538057,-5.58715247,-6.18352747,-3.292587326,-2.75614002,1.5339
-1.698,36.38,66.233,0.3245,8,104.5980841,5.77885267,-4.982357911,-5.537357911,-2.199605109,-0.96247226,1.8416
-3.257,52.7,89.933,0.9689,8,132.9766033,4.288465031,-7.032645636,-7.591645636,-3.777899523,0.2827703,3.2213
-1.041,5.927,17.411,1.6518,2,64.60569277,3.020907255,-2.973280625,-3.224780625,-0.666288655,0.51188668,0
-2.653,9.46,23.067,2.0744,18,287.0311674,3.932378223,-4.914764681,-5.408098014,-2.897880543,-3.15338082,3.2313
-1.837,9.36,21.033,3.0971,4,93.64785351,7.921891021,-3.866804548,-4.097804548,-1.96074349,4.17510059,3.0168
-2.1,57.673,72.022,0.0075,14,176.518297,3.743759938,-6.168279516,-7.069422373,-2.94606669,0.31913786,1.5997
-2.255,27.507,30.278,0.0173,8,114.0615097,4.187520471,-5.435069073,-5.990069073,-2.910011453,-0.28536453,2.4058
-2.552,4.32,8.5,4.1506,7,127.0999474,2.74270501,-4.920046016,-5.773474587,-2.585685456,-5.72499702,4.2423
-1.486,30.413,58.056,0.9156,8,94.49433325,6.462745545,-4.172138255,-4.836263255,-1.921245279,-0.28831821,1.6021
-2.053,16.2,35.867,0.7563,8,106.8219134,5.698405989,-4.392716863,-4.989091863,-2.310891658,-0.7350875,0
-2.869,49.62,51.933,5.5433,36,611.8792444,1.95670623,-7.908579324,-8.366579324,-3.260347506,-1.42411996,5.6779
-2.358,25.227,34.478,1.8239,8,105.3657144,4.387479925,-4.773895754,-5.370270754,-2.614669374,-2.08802758,0
-1.94,20.067,33.178,0.915,8,105.660881,5.970155809,-4.239618469,-4.903743469,-2.283536274,-1.12285622,2.2615
-2.858,16.407,15.411,5.6771,36,611.8792444,1.95670623,-7.908579324,-8.366579324,-3.260347506,-1.42411996,5.6779
-1.603,35.747,129.644,0.0149,6,66.09767602,4.858200008,-4.365381503,-5.520381503,-2.319349965,0.401624,4.9116
-1.758,11.233,20.156,5.8331,32,450.3874158,2.447439533,-6.126649509,-6.447899509,-2.054710667,-0.76872412,5.1576
-2.139,31.193,38.956,1.1443,8,102.5379734,4.718942693,-4.632803201,-5.296928201,-2.639605409,1.50613001,0
-0.882,32.68,72.167,2.1391,100,2478.010635,3.265913848,-3.086844423,-3.338344423,-0.640247684,1.29039525,1.2531
-1.69,56.367,140.444,0.039,6,78.61169617,3.92618297,-6.43265524,-7.29665524,-2.968330831,0.6044362,2.5363
-2.431,10.2,24,1.759,9,147.8957437,3.860771407,-4.27808583,-4.76808583,-2.486056969,-3.15936041,1.2372
-2.71,70.393,127.322,0.2421,7,81.70973008,3.61370251,-5.77050545,-6.422791164,-3.312363753,0.63730009,4.2584
-2.438,20.44,49.533,0.036,7,113.8812717,4.456380583,-4.283408311,-4.910408311,-2.712248212,-0.66644501,3.7349
-1.048,12.02,18.067,5.3362,48,682.767669,2.336632107,-5.807287344,-6.322537344,-1.578408344,-2.50053793,5.1448
-1.602,35.413,128.756,0.0147,6,66.09767602,4.858200008,-4.365381503,-5.520381503,-2.319349965,0.401624,4.9116
-0.581,9.187,19.578,2.2634,30,1138.574995,5.341084425,-1.908940397,-2.161607063,-0.87173291,0.99053207,2.3675
-0.245,190.76,213.2,2.0599,34,350.6689297,3.227780151,-7.498522516,-7.498522516,-0.171530755,10.08242574,2.0037
-0.308,92.727,145.278,3.8491,16,195.8420095,2.763378388,-7.538049956,-7.763674956,-0.523377187,4.07974537,3.56
-0.194,16.093,28.656,0.1173,10,328.8118262,5.309731157,-3.731558939,-3.984758939,-0.463375051,4.42475759,0.5186
-0.346,8.927,17.844,0.0501,6,249.7668374,4.374456593,-3.360612192,-3.488612192,-0.409100008,3.25886014,0.2676
-0.557,17.593,33.456,0.8508,14,387.8577844,5.633235216,-3.447053288,-3.716767574,-0.801067126,2.64715645,0.0607
-0.371,10.64,18,1.737,6,183.0768269,3.374205296,-4.590055263,-4.90472193,-0.765674935,0.27049379,2.167
-0.196,9.28,23.3,0.2967,14,876.9077187,3.163498401,-2.064581289,-2.281152718,-0.224644274,-0.2471155,1.6792
-0.244,193.02,213.3,2.0665,34,350.6689297,3.227780151,-7.498522516,-7.498522516,-0.171530755,10.08242574,2.0037
-0.245,190.653,213.289,2.273,34,350.6689297,3.227780151,-7.498522516,-7.498522516,-0.171530755,10.08242574,2.0037
-0.561,17.273,32.656,0.6249,14,387.8577844,5.633235216,-3.447053288,-3.716767574,-0.801067126,2.64715645,0.0607
-0.885,10.933,22.789,2.6819,6,180.9957394,4.994927347,-2.281468252,-2.637468252,-1.294486112,-1.35198964,2.9381
-1.271,8.92,16.667,0.9828,9,313.3745919,4.075219078,-2.970071187,-3.326071187,-1.627314522,-0.39104144,1.3166
-1.082,11.6,24.033,3.2179,12,332.8398169,3.783979676,-3.561809461,-3.971142794,-1.402261069,1.75651744,3.0724
-1.033,44.88,102.1,0.125,3,64.01244229,7.085385842,-6.256106397,-6.256106397,-1.042322345,6.59702657,0.0155
-1.035,39.2,47.533,0.134,5,143.4614142,5.623589411,-4.320364682,-4.392564682,-0.943471799,3.5836395,0.2569
-0.145,11.307,24.078,1.6466,4,108.9919287,5.80319019,-2.956067108,-3.145567108,-0.359280597,4.493492,1.212
-0.319,5.573,11.456,1.8893,6,237.3245709,5.701062241,-1.53874133,-1.843074663,-0.733049648,-0.9589326,2.362
